interaction_kind,key_type_tuple,coeff_param_sets
angle,"[[35],[43,44,45,46,47,48,49,50],[36,37,38]]","[[""58.350"",""112.700""]]"
angle,"[[36,37,38],[43,44,45,46,47,48,49,50],[36,37,38]]","[[""58.350"",""112.700""]]"
angle,"[[36,37,38],[43,44,45,46,47,48,49,50],[39]]","[[""58.350"",""112.700""]]"
angle,"[[36,37,38],[43,44,45,46,47,48,49,50],[51,52]]","[[""58.350"",""112.700""]]"
angle,"[[36,37,38],[64,65,66,67],[69,70,71,72]]","[[""70.000"",""120.000""]]"
angle,"[[39],[64,65,66,67],[69,70,71,72]]","[[""70.000"",""120.000""]]"
angle,"[[39],[76],[73]]","[[""63.000"",""112.400""]]"
angle,"[[39],[76],[75]]","[[""70.000"",""118.400""]]"
angle,"[[40,41,42],[25,26],[56,57,58,59,60]]","[[""60.000"",""110.000""]]"
angle,"[[40,41,42],[25,26],[84,85,86,87]]","[[""60.000"",""100.000""]]"
angle,"[[40,41,42],[29,30],[89,90]]","[[""60.000"",""100.000""]]"
angle,"[[40,41,42],[53,54,55],[88]]","[[""50.000"",""109.500""]]"
angle,"[[43,44,45,46,47,48,49,50],[31,32],[77,78]]","[[""80.000"",""120.400""]]"
angle,"[[43,44,45,46,47,48,49,50],[31,32],[79,80,81]]","[[""81.000"",""111.400""]]"
angle,"[[43,44,45,46,47,48,49,50],[33,34],[82,83]]","[[""80.000"",""120.400""]]"
angle,"[[43,44,45,46,47,48,49,50],[33,34],[88]]","[[""81.000"",""111.400""]]"
angle,"[[43,44,45,46,47,48,49,50],[33,34],[92]]","[[""70.000"",""108.000""]]"
angle,"[[43,44,45,46,47,48,49,50],[35],[61,62,63]]","[[""58.350"",""112.700""]]"
angle,"[[43,44,45,46,47,48,49,50],[36,37,38],[43,44,45,46,47,48,49,50]]","[[""58.350"",""112.700""]]"
angle,"[[43,44,45,46,47,48,49,50],[36,37,38],[61,62,63]]","[[""58.350"",""112.700""]]"
angle,"[[43,44,45,46,47,48,49,50],[36,37,38],[64,65,66,67]]","[[""63.000"",""114.000""]]"
angle,"[[43,44,45,46,47,48,49,50],[39],[64,65,66,67]]","[[""63.000"",""114.000""]]"
angle,"[[43,44,45,46,47,48,49,50],[39],[76]]","[[""51.650"",""110.580""]]"
angle,"[[43,44,45,46,47,48,49,50],[51,52],[64,65,66,67]]","[[""63.000"",""114.000""]]"
angle,"[[43,44,45,46,47,48,49,50],[51,52],[68]]","[[""63.000"",""114.000""]]"
angle,"[[43,44,45,46,47,48,49,50],[53,54,55],[79,80,81]]","[[""50.000"",""109.500""]]"
angle,"[[51,52],[43,44,45,46,47,48,49,50],[53,54,55]]","[[""58.350"",""112.700""]]"
angle,"[[51,52],[64,65,66,67],[69,70,71,72]]","[[""70.000"",""120.000""]]"
angle,"[[51,52],[68],[73]]","[[""70.000"",""130.700""]]"
angle,"[[51,52],[68],[74]]","[[""70.000"",""124.500""]]"
angle,"[[56,57,58,59,60],[25,26],[56,57,58,59,60]]","[[""60.000"",""110.000""]]"
angle,"[[56,57,58,59,60],[25,26],[84,85,86,87]]","[[""60.000"",""100.000""]]"
angle,"[[56,57,58,59,60],[27,28],[56,57,58,59,60]]","[[""60.000"",""110.000""]]"
angle,"[[56,57,58,59,60],[27,28],[84,85,86,87]]","[[""60.000"",""100.000""]]"
angle,"[[56,57,58,59,60],[27,28],[91]]","[[""42.500"",""109.500""]]"
angle,"[[56,57,58,59,60],[29,30],[89,90]]","[[""60.000"",""100.000""]]"
angle,"[[61,62,63],[35],[61,62,63]]","[[""58.350"",""112.700""]]"
angle,"[[61,62,63],[36,37,38],[64,65,66,67]]","[[""63.000"",""114.000""]]"
angle,"[[61,62,63],[53,54,55],[79,80,81]]","[[""50.000"",""109.500""]]"
angle,"[[64,65,66,67],[39],[76]]","[[""80.000"",""111.200""]]"
angle,"[[64,65,66,67],[69,70,71,72],[69,70,71,72]]","[[""63.000"",""120.000""]]"
angle,"[[68],[73],[76]]","[[""70.000"",""106.300""]]"
angle,"[[68],[74],[75]]","[[""70.000"",""117.000""]]"
angle,"[[69,70,71,72],[64,65,66,67],[69,70,71,72]]","[[""63.000"",""120.000""]]"
angle,"[[69,70,71,72],[69,70,71,72],[69,70,71,72]]","[[""63.000"",""120.000""]]"
angle,"[[73],[68],[74]]","[[""70.000"",""111.000""]]"
angle,"[[73],[76],[75]]","[[""56.000"",""113.100""]]"
angle,"[[74],[75],[76]]","[[""59.410"",""111.360""]]"
angle,"[[77,78],[31,32],[79,80,81]]","[[""83.000"",""123.400""]]"
angle,"[[82,83],[33,34],[88]]","[[""83.000"",""123.400""]]"
angle,"[[82,83],[33,34],[92]]","[[""80.000"",""121.000""]]"
angle,"[[84,85,86,87],[27,28],[84,85,86,87]]","[[""60.000"",""110.000""]]"
angle,"[[84,85,86,87],[27,28],[91]]","[[""42.500"",""109.500""]]"
angle,"[[89,90],[29,30],[89,90]]","[[""60.000"",""110.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[36,37,38],[43,44,45,46,47,48,49,50],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]]","[[""0.000"",""0.000"",""0.300"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[36,37,38],[43,44,45,46,47,48,49,50],[35]]","[[""0.000"",""0.000"",""0.300"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[36,37,38],[43,44,45,46,47,48,49,50],[36,37,38]]","[[""0.000"",""0.000"",""0.300"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[36,37,38],[43,44,45,46,47,48,49,50],[39]]","[[""0.000"",""0.000"",""0.300"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[36,37,38],[43,44,45,46,47,48,49,50],[51,52]]","[[""0.000"",""0.000"",""0.300"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[36,37,38],[61,62,63],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]]","[[""0.000"",""0.000"",""0.300"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[36,37,38],[64,65,66,67],[69,70,71,72]]","[[""0.000"",""0.000"",""0.000"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[39],[43,44,45,46,47,48,49,50],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]]","[[""0.000"",""0.000"",""0.300"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[39],[43,44,45,46,47,48,49,50],[36,37,38]]","[[""0.000"",""0.000"",""0.300"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[39],[64,65,66,67],[69,70,71,72]]","[[""0.000"",""0.000"",""0.000"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[39],[76],[73]]","[[""0.000"",""0.000"",""0.000"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[39],[76],[75]]","[[""0.000"",""0.000"",""0.000"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[40,41,42],[25,26],[56,57,58,59,60]]","[[""0.000"",""0.000"",""0.180"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[40,41,42],[25,26],[84,85,86,87]]","[[""0.000"",""0.000"",""0.000"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[40,41,42],[29,30],[89,90]]","[[""0.000"",""0.000"",""0.000"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[40,41,42],[40,41,42],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]]","[[""0.000"",""0.000"",""0.300"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[40,41,42],[40,41,42],[25,26]]","[[""0.000"",""0.000"",""0.450"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[40,41,42],[40,41,42],[29,30]]","[[""0.000"",""0.000"",""0.450"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[40,41,42],[53,54,55],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]]","[[""0.000"",""0.000"",""0.300"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[40,41,42],[53,54,55],[88]]","[[""0.000"",""0.000"",""0.468"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[43,44,45,46,47,48,49,50],[31,32],[77,78]]","[[""0.000"",""0.000"",""0.000"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[43,44,45,46,47,48,49,50],[31,32],[79,80,81]]","[[""0.000"",""0.000"",""0.132"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[43,44,45,46,47,48,49,50],[33,34],[82,83]]","[[""0.000"",""0.000"",""0.000"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[43,44,45,46,47,48,49,50],[33,34],[88]]","[[""0.000"",""0.000"",""0.132"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[43,44,45,46,47,48,49,50],[33,34],[92]]","[[""0.000"",""0.000"",""0.000"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[43,44,45,46,47,48,49,50],[35],[31,32]]","[[""0.000"",""0.000"",""-0.100"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[43,44,45,46,47,48,49,50],[35],[61,62,63]]","[[""0.000"",""0.000"",""0.300"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[43,44,45,46,47,48,49,50],[36,37,38],[43,44,45,46,47,48,49,50]]","[[""0.000"",""0.000"",""0.300"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[43,44,45,46,47,48,49,50],[36,37,38],[61,62,63]]","[[""0.000"",""0.000"",""0.300"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[43,44,45,46,47,48,49,50],[36,37,38],[64,65,66,67]]","[[""0.000"",""0.000"",""0.462"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[43,44,45,46,47,48,49,50],[39],[64,65,66,67]]","[[""0.000"",""0.000"",""0.462"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[43,44,45,46,47,48,49,50],[39],[76]]","[[""-1.013"",""-0.709"",""0.473"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[43,44,45,46,47,48,49,50],[43,44,45,46,47,48,49,50],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]]","[[""0.000"",""0.000"",""0.300"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[43,44,45,46,47,48,49,50],[43,44,45,46,47,48,49,50],[31,32]]","[[""0.000"",""0.000"",""-0.100"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[43,44,45,46,47,48,49,50],[43,44,45,46,47,48,49,50],[33,34]]","[[""0.000"",""0.000"",""-0.100"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[43,44,45,46,47,48,49,50],[51,52],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]]","[[""0.000"",""0.000"",""0.300"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[43,44,45,46,47,48,49,50],[51,52],[64,65,66,67]]","[[""0.000"",""0.000"",""0.462"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[43,44,45,46,47,48,49,50],[51,52],[68]]","[[""0.000"",""0.000"",""0.462"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[43,44,45,46,47,48,49,50],[53,54,55],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]]","[[""0.000"",""0.000"",""0.300"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[43,44,45,46,47,48,49,50],[53,54,55],[79,80,81]]","[[""0.000"",""0.000"",""0.468"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[51,52],[43,44,45,46,47,48,49,50],[36,37,38]]","[[""0.000"",""0.000"",""0.300"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[51,52],[43,44,45,46,47,48,49,50],[53,54,55]]","[[""0.000"",""0.000"",""0.300"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[51,52],[64,65,66,67],[69,70,71,72]]","[[""0.000"",""0.000"",""0.000"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[51,52],[68],[73]]","[[""0.000"",""0.000"",""0.000"",""0.000""]]"
dihedral,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[51,52],[68],[74]]","[[""0.000"",""0.000"",""0.000"",""0.000""]]"
